customer_id,age,income,region,tenure_months,num_products,avg_monthly_spend,login_frequency,missed_payments,churn_risk_score,CLV,notes
C00001,64,124983,East Coast,6,1,338.83,17,4,0.36,1801.11,Moderate value customer
C00002,35,53960,South,81,2,2438.93,19,4,0.12,174846.93,High-value loyal customer
C00003,23,63827,West Coast,10,2,1725.97,24,1,0.28,13426.98,Moderate value customer
C00004,21,82010,East Coast,85,4,1799.71,24,3,0.55,70838.91,Moderate value customer
C00005,44,75051,East Coast,29,1,1141.55,18,1,0.09,30625.5,Moderate value customer
C00006,32,140834,South,29,5,2804.97,13,0,0.05,79776.92,High-value loyal customer
C00007,65,42013,East Coast,20,2,2197.37,17,0,0.54,21215.8,Moderate value customer
C00008,34,119521,South,79,4,2797.76,4,1,0.43,127983.13,Moderate value customer
C00009,62,39633,East Coast,66,4,477.95,30,2,0.19,27551.21,Moderate value customer
C00010,40,130570,West Coast,97,4,1834.44,18,0,0.71,53602.8,High churn risk
C00011,34,48632,East Coast,12,5,1985.08,21,4,0.09,24177.07,Moderate value customer
C00012,34,83641,Midwest,13,2,552.78,30,2,0.27,6245.88,Moderate value customer
C00013,65,70474,East Coast,108,3,1169.54,28,1,0.1,115179.29,High-value loyal customer
C00014,55,137096,South,108,5,801.45,23,2,0.73,25870.28,High churn risk
C00015,39,70754,East Coast,39,1,2956.49,10,3,0.63,43162.15,Moderate value customer
C00016,40,96371,Midwest,39,3,1721.56,27,2,0.19,55884.08,High-value loyal customer
C00017,62,93611,West Coast,102,5,1082.73,28,1,0.56,51092.92,Moderate value customer
C00018,64,136895,Midwest,45,2,2060.59,10,3,0.7,28817.97,Moderate value customer
C00019,43,106056,West Coast,85,4,2046.73,5,4,0.03,170752.89,High-value loyal customer
C00020,54,96543,Midwest,41,5,1172.53,1,4,0.66,18845.07,Moderate value customer
C00021,21,38958,Midwest,80,1,2982.98,14,0,0.31,165160.5,Moderate value customer
C00022,24,128736,Midwest,98,1,2465.09,10,2,0.14,208257.79,High-value loyal customer
C00023,60,54975,West Coast,91,1,1320.89,28,1,0.82,22136.18,High churn risk
C00024,37,133425,East Coast,43,3,2048.17,5,4,0.61,35847.81,Moderate value customer
C00025,46,63096,South,62,4,2189.51,22,4,0.55,63087.33,Moderate value customer
C00026,34,116650,East Coast,3,5,686.69,9,2,0.84,2829.61,High churn risk
C00027,66,56347,Midwest,9,3,2658.85,29,1,0.27,18968.64,Moderate value customer
C00028,52,77486,West Coast,44,5,2512.91,17,1,0.01,111962.36,High-value loyal customer
C00029,56,97148,West Coast,34,2,2315.89,19,3,0.95,4937.01,High churn risk
C00030,40,124285,East Coast,19,2,823.49,27,4,0.26,12578.27,Moderate value customer
C00031,36,59003,West Coast,102,5,581.5,5,2,0.63,24445.81,Moderate value customer
C00032,39,60882,West Coast,90,3,705.53,1,4,0.98,2769.95,High churn risk
C00033,65,83397,Midwest,87,1,460.45,30,2,0.23,31345.55,Moderate value customer
C00034,59,32004,West Coast,18,3,2832.81,7,0,0.99,2009.91,High churn risk
C00035,44,102239,West Coast,109,3,2584.18,1,2,0.54,131070.79,Moderate value customer
C00036,34,135073,Midwest,46,5,454.18,10,1,0.96,3335.69,High churn risk
C00037,49,52008,East Coast,104,3,2098.32,26,0,0.09,200085.0,High-value loyal customer
C00038,62,85871,South,41,2,887.64,3,2,0.53,18104.82,Moderate value customer
C00039,34,114930,South,109,5,248.37,27,4,0.94,4124.34,High churn risk
C00040,31,99781,South,49,5,1018.7,17,3,0.16,44429.69,Moderate value customer
C00041,31,39800,East Coast,102,5,1432.08,25,4,0.28,107671.96,High-value loyal customer
C00042,67,82270,West Coast,52,3,256.11,28,0,0.21,12021.0,Moderate value customer
C00043,60,78935,Midwest,74,4,1106.42,23,0,0.97,4456.25,High churn risk
C00044,44,128665,East Coast,43,1,2160.99,10,0,0.26,69262.7,High-value loyal customer
C00045,42,146404,South,10,1,839.6,9,2,0.12,7888.48,Moderate value customer
C00046,69,130725,West Coast,85,2,1557.7,9,1,0.8,27480.9,High churn risk
C00047,41,77874,South,38,5,2685.23,11,0,0.51,52498.98,Moderate value customer
C00048,26,66958,South,38,1,279.49,13,1,0.59,4854.45,Moderate value customer
C00049,34,70036,South,47,3,2399.78,27,0,0.61,45487.97,Moderate value customer
C00050,29,66229,East Coast,7,3,1274.9,9,3,0.61,4980.48,Moderate value customer
C00051,55,115901,West Coast,12,3,1715.22,26,4,0.45,12820.45,Moderate value customer
C00052,64,109442,South,52,2,846.44,21,2,0.98,1880.3,High churn risk
C00053,56,45289,East Coast,105,5,1821.06,12,3,0.17,161205.38,High-value loyal customer
C00054,45,40321,Midwest,33,1,2245.96,7,3,0.96,3464.67,High churn risk
C00055,35,128297,Midwest,89,5,764.31,22,1,0.29,50796.75,High-value loyal customer
C00056,65,51112,East Coast,92,5,1161.15,22,3,0.19,89028.9,High-value loyal customer
C00057,48,110867,Midwest,24,3,1788.66,3,2,0.63,17383.3,Moderate value customer
C00058,34,40652,South,48,1,1366.99,12,0,0.89,7717.71,High churn risk
C00059,33,48434,East Coast,31,2,1020.83,26,4,0.36,21253.27,Moderate value customer
C00060,61,116179,East Coast,82,5,1464.72,13,2,0.08,112998.48,High-value loyal customer
C00061,51,34712,Midwest,23,4,1014.32,22,4,0.54,12731.51,Moderate value customer
C00062,25,39560,West Coast,71,3,1045.25,10,3,0.99,2242.13,High churn risk
C00063,39,136331,Midwest,114,4,1909.77,6,2,0.39,134805.41,Moderate value customer
C00064,28,83413,South,72,2,1535.78,21,1,0.02,109364.64,High-value loyal customer
C00065,33,106874,West Coast,118,2,2095.8,28,4,0.5,124652.2,Moderate value customer
